Entity,Code,Day,0-17_fully,18-29_fully,25-49_fully,35-44_fully,45-54_fully,50-54_fully,40-49_fully,30-39_fully,25-34_fully,18-24_fully,50-59_fully,55-64_fully,60-69_fully,60-64_fully,55-59_fully,65-69_fully,70-74_fully,75+_fully,80+_fully,75-79_fully,70-79_fully,65-74_fully,12-17_fully,0-9_fully,10-19_fully,20-29_fully,12-15_fully,16-19_fully,5-11_fully,90-99_fully,80-89_fully,0-4_fully,15-17_fully,5-9_fully,10-14_fully
Bulgaria,BGR,2021-06-11,,,8.86,,,,,,,4.13,14.42,,18.23,,,,,,12.05,,19.39,,,,,,,,,,,,,,
Bulgaria,BGR,2021-06-18,,,9.59,,,,,,,4.65,15.4,,19.62,,,,,,13.24,,21.07,,,,,,,,,,,,,,
Bulgaria,BGR,2021-06-25,,,10.18,,,,,,,5.12,16.16,,20.65,,,,,,14.11,,22.28,,,,,,,,,,,,,,
Bulgaria,BGR,2021-07-02,,,10.74,,,,,,,5.58,16.9,,21.58,,,,,,14.87,,23.38,,,,,,,,,,,,,,
Bulgaria,BGR,2021-07-09,,,11.25,,,,,,,6.01,17.56,,22.37,,,,,,15.49,,24.25,,,,,,,,,,,,,,
Bulgaria,BGR,2021-07-16,,,11.78,,,,,,,6.43,18.22,,23.1,,,,,,16,,25.05,,,,,,,,,,,,,,
Bulgaria,BGR,2021-07-23,,,12.29,,,,,,,6.86,18.83,,23.76,,,,,,16.47,,25.74,,,,,,,,,,,,,,
Bulgaria,BGR,2021-07-30,,,12.85,,,,,,,7.35,19.51,,24.46,,,,,,16.95,,26.44,,,,,,,,,,,,,,
Bulgaria,BGR,2021-08-06,,,13.45,,,,,,,7.85,20.2,,25.13,,,,,,17.36,,27.09,,,,,,,,,,,,,,
Bulgaria,BGR,2021-08-13,,,14.08,,,,,,,8.37,20.91,,25.75,,,,,,17.75,,27.7,,,,,,,,,,,,,,
Bulgaria,BGR,2021-08-20,,,14.79,,,,,,,8.95,21.69,,26.45,,,,,,18.16,,28.33,,,,,,,,,,,,,,
Bulgaria,BGR,2021-08-27,,,15.57,,,,,,,9.64,22.52,,27.21,,,,,,18.59,,29,,,,,,,,,,,,,,
Bulgaria,BGR,2021-09-03,,,16.35,,,,,,,10.33,23.35,,27.9,,,,,,19.01,,29.64,,,,,,,,,,,,,,
Bulgaria,BGR,2021-09-10,,,17.01,,,,,,,10.96,24.04,,28.52,,,,,,19.38,,30.21,,,,,,,,,,,,,,
Bulgaria,BGR,2021-09-17,,,17.72,,,,,,,11.66,24.78,,29.18,,,,,,19.77,,30.8,,,,,,,,,,,,,,
Bulgaria,BGR,2021-09-24,,,18.32,,,,,,,12.22,25.4,,29.7,,,,,,20.11,,31.3,,,,,,,,,,,,,,
Bulgaria,BGR,2021-10-01,,,18.84,,,,,,,12.71,25.92,,30.14,,,,,,20.38,,31.71,,,,,,,,,,,,,,
Bulgaria,BGR,2021-10-08,,,19.27,,,,,,,13.16,26.36,,30.54,,,,,,20.65,,32.1,,,,,,,,,,,,,,
Bulgaria,BGR,2021-10-15,,,19.71,,,,,,,13.56,26.79,,30.9,,,,,,20.86,,32.43,,,,,,,,,,,,,,
Bulgaria,BGR,2021-10-22,,,20.92,,,,,,,14.86,27.86,,31.58,,,,,,21.1,,32.85,,,,,,,,,,,,,,
Bulgaria,BGR,2021-10-29,,,22.44,,,,,,,16.53,29.28,,32.48,,,,,,21.39,,33.39,,,,,,,,,,,,,,
Bulgaria,BGR,2021-11-05,,,23.59,,,,,,,17.73,30.31,,33.2,,,,,,21.65,,33.89,,,,,,,,,,,,,,
Bulgaria,BGR,2021-11-12,,,24.79,,,,,,,19.06,31.38,,33.99,,,,,,21.93,,34.44,,,,,,,,,,,,,,
Bulgaria,BGR,2021-11-19,,,26.21,,,,,,,20.7,32.71,,34.99,,,,,,22.3,,35.12,,,,,,,,,,,,,,
Bulgaria,BGR,2021-11-26,,,27.43,,,,,,,21.99,33.87,,35.9,,,,,,22.66,,35.82,,,,,,,,,,,,,,
Croatia,HRV,2021-01-01,,,0,,,,,,,0,0,,0,,,,,,0,,0,,,,,,,,,,,,,,
Croatia,HRV,2021-01-08,,,0,,,,,,,0,0,,0,,,,,,0,,0,,,,,,,,,,,,0,,
Croatia,HRV,2021-01-15,,,0,,,,,,,0,0.01,,0,,,,,,0.1,,0.02,,,,,,,,,,,,0,0,
Croatia,HRV,2021-01-22,,,0.22,,,,,,,0.04,0.32,,0.22,,,,,,1.79,,0.44,,,,,,,,,,,,0,0,
Croatia,HRV,2021-01-29,,,0.61,,,,,,,0.13,0.9,,0.63,,,,,,2.93,,0.84,,,,,,,,,,,,0,0,0
Croatia,HRV,2021-02-05,,,1.01,,,,,,,0.23,1.52,,1.07,,,,,,3.82,,1.26,,,,,,,,,,,,0.01,0,0
Croatia,HRV,2021-02-12,,,1.41,,,,,,,0.32,2.14,,1.55,,,,,,4.69,,1.76,,,,,,,,,,,,0.01,0,0
Croatia,HRV,2021-02-19,,,1.52,,,,,,,0.35,2.32,,1.72,,,,,,5.04,,1.99,,,,,,,,,,,0,0.02,0,0
Croatia,HRV,2021-02-26,,,1.56,,,,,,,0.37,2.39,,1.8,,,,,,5.19,,2.11,,,,,,,,,,,0,0.02,0,0
Croatia,HRV,2021-03-05,,,1.65,,,,,,,0.39,2.53,,1.94,,,,,,5.51,,2.3,,,,,,,,,,,0,0.02,0,0
Croatia,HRV,2021-03-12,,,1.84,,,,,,,0.46,2.85,,2.29,,,,,,6.71,,2.86,,,,,,,,,,,0,0.03,0,0
Croatia,HRV,2021-03-19,,,2.04,,,,,,,0.52,3.18,,2.79,,,,,,8.44,,3.9,,,,,,,,,,,0,0.03,0,0
Croatia,HRV,2021-03-26,,,2.13,,,,,,,0.54,3.36,,3.12,,,,,,9.55,,4.61,,,,,,,,,,,0,0.04,0,0
Croatia,HRV,2021-04-02,,,2.24,,,,,,,0.58,3.57,,3.56,,,,,,11.24,,5.78,,,,,,,,,,,0,0.04,0,0
Croatia,HRV,2021-04-09,,,2.36,,,,,,,0.62,3.79,,4.09,,,,,,12.85,,7.28,,,,,,,,,,,0,0.04,0,0
Croatia,HRV,2021-04-16,,,2.6,,,,,,,0.69,4.31,,5.5,,,,,,16.51,,10.89,,,,,,,,,,,0,0.05,0,0
Croatia,HRV,2021-04-23,,,2.82,,,,,,,0.77,4.84,,7.07,,,,,,19.03,,14.21,,,,,,,,,,,0,0.07,0,0
Croatia,HRV,2021-04-30,,,3.11,,,,,,,0.87,5.52,,9.09,,,,,,21.87,,18.02,,,,,,,,,,,0,0.08,0,0
Croatia,HRV,2021-05-07,,,3.63,,,,,,,1.14,6.69,,12.19,,,,,,26.66,,23.84,,,,,,,,,,,0,0.09,0,0
Croatia,HRV,2021-05-14,,,4.18,,,,,,,1.31,7.99,,15.75,,,,,,31.96,,29.84,,,,,,,,,,,0,0.11,0,0
Croatia,HRV,2021-05-21,,,4.89,,,,,,,1.58,9.58,,19.46,,,,,,36.99,,35.49,,,,,,,,,,,0,0.12,0,0
Croatia,HRV,2021-05-28,,,6.07,,,,,,,2,12.18,,24.75,,,,,,40.47,,42.09,,,,,,,,,,,0,0.14,0,0
Croatia,HRV,2021-06-04,,,7.39,,,,,,,2.68,14.78,,29.14,,,,,,42.67,,46.67,,,,,,,,,,,0,0.17,0,0.01
Croatia,HRV,2021-06-11,,,10.89,,,,,,,3.99,20.57,,36.49,,,,,,45.38,,52.65,,,,,,,,,,,0.01,0.25,0,0.01
Croatia,HRV,2021-06-18,,,15.52,,,,,,,5.78,27.81,,43.99,,,,,,47.88,,57.94,,,,,,,,,,,0.01,0.37,0,0.01
Croatia,HRV,2021-06-25,,,19.42,,,,,,,7.8,33.1,,48.97,,,,,,49.53,,61.2,,,,,,,,,,,0.01,0.57,0,0.01
Croatia,HRV,2021-07-02,,,23.72,,,,,,,10.38,38.52,,53.89,,,,,,51.07,,64.43,,,,,,,,,,,0.01,0.85,0.01,0.03
Croatia,HRV,2021-07-09,,,27.02,,,,,,,13.14,42.23,,57.53,,,,,,52.16,,66.6,,,,,,,,,,,0.02,1.31,0.01,0.07
Croatia,HRV,2021-07-16,,,29.33,,,,,,,15.09,44.49,,59.34,,,,,,52.86,,67.78,,,,,,,,,,,0.02,1.75,0.01,0.12
Croatia,HRV,2021-07-23,,,31.58,,,,,,,17.37,46.86,,61.31,,,,,,53.59,,69.08,,,,,,,,,,,0.03,2.54,0.01,0.2
Croatia,HRV,2021-07-30,,,33.25,,,,,,,18.98,48.77,,62.89,,,,,,54.19,,70.08,,,,,,,,,,,0.03,3.1,0.01,0.28
Croatia,HRV,2021-08-06,,,34.29,,,,,,,20.01,49.93,,63.82,,,,,,54.6,,70.69,,,,,,,,,,,0.03,3.47,0.01,0.32
Croatia,HRV,2021-08-13,,,35.33,,,,,,,21.12,50.95,,64.61,,,,,,54.93,,71.24,,,,,,,,,,,0.03,3.93,0.01,0.37
Croatia,HRV,2021-08-20,,,36.3,,,,,,,22.2,51.89,,65.31,,,,,,55.27,,71.71,,,,,,,,,,,0.03,4.36,0.01,0.42
Croatia,HRV,2021-08-27,,,37.26,,,,,,,23.26,52.7,,65.95,,,,,,55.57,,72.17,,,,,,,,,,,0.04,4.79,0.01,0.48
Croatia,HRV,2021-09-03,,,38.01,,,,,,,24.07,53.37,,66.46,,,,,,55.83,,72.52,,,,,,,,,,,0.04,5.13,0.01,0.51
